候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,E_batch_kWh,T_batch_s
61,S001,A,"('S001-MED-01', 'S001-WAT-07')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
62,S001,A,"('S001-MED-01', 'S001-WAT-06')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
63,S001,A,"('S001-MED-01', 'S001-WAT-05')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
64,S001,A,"('S001-MED-01', 'S001-WAT-04')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
65,S001,A,"('S001-MED-01', 'S001-WAT-03')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
66,S001,A,"('S001-MED-01', 'S001-WAT-02')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
67,S001,A,"('S001-MED-01', 'S001-WAT-01')",2,17.0,0.039,1.2447072523731981,1265.7465002314902
68,S001,A,"('S001-MED-01', 'S001-MED-02')",2,6.0,0.024,1.182109161672361,1265.7465002314902
69,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-HYG-02')",3,12.0,0.059000000000000004,1.2115362502772318,1325.7465002314902
70,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-HYG-01')",3,12.0,0.059000000000000004,1.2115362502772318,1325.7465002314902
71,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-FOD-03')",3,14.0,0.052000000000000005,1.2238194119446362,1325.7465002314902
72,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-FOD-02')",3,14.0,0.052000000000000005,1.2238194119446362,1325.7465002314902
73,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-FOD-01')",3,14.0,0.052000000000000005,1.2238194119446362,1325.7465002314902
74,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-08')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
75,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-07')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
76,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-06')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
77,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-05')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
78,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-04')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
79,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-03')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
80,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-02')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
81,S001,A,"('S001-MED-01', 'S001-MED-02', 'S001-WAT-01')",3,20.0,0.051000000000000004,1.2688113302153203,1325.7465002314902
82,S001,B,"('S001-HYG-02',)",1,6.0,0.035,0.9549187837421493,1104.1114854228224
83,S001,B,"('S001-HYG-01',)",1,6.0,0.035,0.9549187837421493,1104.1114854228224
84,S001,B,"('S001-HYG-01', 'S001-HYG-02')",2,12.0,0.07,0.9940649395334338,1164.1114854228224
85,S001,B,"('S001-FOD-03',)",1,8.0,0.028,0.9660550724182919,1104.1114854228224
86,S001,B,"('S001-FOD-03', 'S001-HYG-02')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
87,S001,B,"('S001-FOD-03', 'S001-HYG-01')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
88,S001,B,"('S001-FOD-02',)",1,8.0,0.028,0.9660550724182919,1104.1114854228224
89,S001,B,"('S001-FOD-02', 'S001-HYG-02')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
90,S001,B,"('S001-FOD-02', 'S001-HYG-01')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
91,S001,B,"('S001-FOD-02', 'S001-FOD-03')",2,16.0,0.056,1.0307338180933547,1164.1114854228224
92,S001,B,"('S001-FOD-01',)",1,8.0,0.028,0.9660550724182919,1104.1114854228224
93,S001,B,"('S001-FOD-01', 'S001-HYG-02')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
94,S001,B,"('S001-FOD-01', 'S001-HYG-01')",2,14.0,0.063,1.0112049393210358,1164.1114854228224
95,S001,B,"('S001-FOD-01', 'S001-FOD-03')",2,16.0,0.056,1.0307338180933547,1164.1114854228224
96,S001,B,"('S001-FOD-01', 'S001-FOD-02')",2,16.0,0.056,1.0307338180933547,1164.1114854228224
97,S001,B,"('S001-WAT-08',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
98,S001,B,"('S001-WAT-08', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
99,S001,B,"('S001-WAT-08', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
100,S001,B,"('S001-WAT-08', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
101,S001,B,"('S001-WAT-08', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
102,S001,B,"('S001-WAT-08', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
103,S001,B,"('S001-WAT-07',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
104,S001,B,"('S001-WAT-07', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
105,S001,B,"('S001-WAT-07', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
106,S001,B,"('S001-WAT-07', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
107,S001,B,"('S001-WAT-07', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
108,S001,B,"('S001-WAT-07', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
109,S001,B,"('S001-WAT-07', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
110,S001,B,"('S001-WAT-06',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
111,S001,B,"('S001-WAT-06', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
112,S001,B,"('S001-WAT-06', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
113,S001,B,"('S001-WAT-06', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
114,S001,B,"('S001-WAT-06', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
115,S001,B,"('S001-WAT-06', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
116,S001,B,"('S001-WAT-06', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
117,S001,B,"('S001-WAT-06', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
118,S001,B,"('S001-WAT-05',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
119,S001,B,"('S001-WAT-05', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
120,S001,B,"('S001-WAT-05', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
121,S001,B,"('S001-WAT-05', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
122,S001,B,"('S001-WAT-05', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
123,S001,B,"('S001-WAT-05', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
124,S001,B,"('S001-WAT-05', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
125,S001,B,"('S001-WAT-05', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
126,S001,B,"('S001-WAT-05', 'S001-WAT-06')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
127,S001,B,"('S001-WAT-04',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
128,S001,B,"('S001-WAT-04', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
129,S001,B,"('S001-WAT-04', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
130,S001,B,"('S001-WAT-04', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
131,S001,B,"('S001-WAT-04', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
132,S001,B,"('S001-WAT-04', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
133,S001,B,"('S001-WAT-04', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
134,S001,B,"('S001-WAT-04', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
135,S001,B,"('S001-WAT-04', 'S001-WAT-06')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
136,S001,B,"('S001-WAT-04', 'S001-WAT-05')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
137,S001,B,"('S001-WAT-03',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
138,S001,B,"('S001-WAT-03', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
139,S001,B,"('S001-WAT-03', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
140,S001,B,"('S001-WAT-03', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
141,S001,B,"('S001-WAT-03', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
142,S001,B,"('S001-WAT-03', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
143,S001,B,"('S001-WAT-03', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
144,S001,B,"('S001-WAT-03', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
145,S001,B,"('S001-WAT-03', 'S001-WAT-06')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
146,S001,B,"('S001-WAT-03', 'S001-WAT-05')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
147,S001,B,"('S001-WAT-03', 'S001-WAT-04')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
148,S001,B,"('S001-WAT-02',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
149,S001,B,"('S001-WAT-02', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
150,S001,B,"('S001-WAT-02', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
151,S001,B,"('S001-WAT-02', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
152,S001,B,"('S001-WAT-02', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
153,S001,B,"('S001-WAT-02', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
154,S001,B,"('S001-WAT-02', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
155,S001,B,"('S001-WAT-02', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
156,S001,B,"('S001-WAT-02', 'S001-WAT-06')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
157,S001,B,"('S001-WAT-02', 'S001-WAT-05')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
158,S001,B,"('S001-WAT-02', 'S001-WAT-04')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
159,S001,B,"('S001-WAT-02', 'S001-WAT-03')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
160,S001,B,"('S001-WAT-01',)",1,14.0,0.027,1.0112049393210358,1104.1114854228224
161,S001,B,"('S001-WAT-01', 'S001-HYG-02')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
162,S001,B,"('S001-WAT-01', 'S001-HYG-01')",2,20.0,0.062,1.0783472831871392,1164.1114854228224
163,S001,B,"('S001-WAT-01', 'S001-FOD-03')",2,22.0,0.055,1.10739666140668,1164.1114854228224
164,S001,B,"('S001-WAT-01', 'S001-FOD-02')",2,22.0,0.055,1.10739666140668,1164.1114854228224
165,S001,B,"('S001-WAT-01', 'S001-FOD-01')",2,22.0,0.055,1.10739666140668,1164.1114854228224
166,S001,B,"('S001-WAT-01', 'S001-WAT-08')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
167,S001,B,"('S001-WAT-01', 'S001-WAT-07')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
168,S001,B,"('S001-WAT-01', 'S001-WAT-06')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
169,S001,B,"('S001-WAT-01', 'S001-WAT-05')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
170,S001,B,"('S001-WAT-01', 'S001-WAT-04')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
171,S001,B,"('S001-WAT-01', 'S001-WAT-03')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
172,S001,B,"('S001-WAT-01', 'S001-WAT-02')",2,28.0,0.054,1.2248733565946466,1164.1114854228224
173,S001,B,"('S001-MED-02',)",1,3.0,0.012,0.9417708195779846,1104.1114854228224
174,S001,B,"('S001-MED-02', 'S001-HYG-02')",2,9.0,0.047,0.9723241178438373,1164.1114854228224
175,S001,B,"('S001-MED-02', 'S001-HYG-01')",2,9.0,0.047,0.9723241178438373,1164.1114854228224
176,S001,B,"('S001-MED-02', 'S001-FOD-03')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
177,S001,B,"('S001-MED-02', 'S001-FOD-02')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
178,S001,B,"('S001-MED-02', 'S001-FOD-02', 'S001-FOD-03')",3,19.0,0.068,1.065238615178194,1224.1114854228224
179,S001,B,"('S001-MED-02', 'S001-FOD-01')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
180,S001,B,"('S001-MED-02', 'S001-FOD-01', 'S001-FOD-03')",3,19.0,0.068,1.065238615178194,1224.1114854228224
181,S001,B,"('S001-MED-02', 'S001-FOD-01', 'S001-FOD-02')",3,19.0,0.068,1.065238615178194,1224.1114854228224
182,S001,B,"('S001-MED-02', 'S001-WAT-08')",2,17.0,0.039,1.041491434245762,1164.1114854228224
183,S001,B,"('S001-MED-02', 'S001-WAT-08', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
184,S001,B,"('S001-MED-02', 'S001-WAT-08', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
185,S001,B,"('S001-MED-02', 'S001-WAT-08', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
186,S001,B,"('S001-MED-02', 'S001-WAT-07')",2,17.0,0.039,1.041491434245762,1164.1114854228224
187,S001,B,"('S001-MED-02', 'S001-WAT-07', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
188,S001,B,"('S001-MED-02', 'S001-WAT-07', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
189,S001,B,"('S001-MED-02', 'S001-WAT-07', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
190,S001,B,"('S001-MED-02', 'S001-WAT-06')",2,17.0,0.039,1.041491434245762,1164.1114854228224
191,S001,B,"('S001-MED-02', 'S001-WAT-06', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
192,S001,B,"('S001-MED-02', 'S001-WAT-06', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
193,S001,B,"('S001-MED-02', 'S001-WAT-06', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
194,S001,B,"('S001-MED-02', 'S001-WAT-05')",2,17.0,0.039,1.041491434245762,1164.1114854228224
195,S001,B,"('S001-MED-02', 'S001-WAT-05', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
196,S001,B,"('S001-MED-02', 'S001-WAT-05', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
197,S001,B,"('S001-MED-02', 'S001-WAT-05', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
198,S001,B,"('S001-MED-02', 'S001-WAT-04')",2,17.0,0.039,1.041491434245762,1164.1114854228224
199,S001,B,"('S001-MED-02', 'S001-WAT-04', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
200,S001,B,"('S001-MED-02', 'S001-WAT-04', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
201,S001,B,"('S001-MED-02', 'S001-WAT-04', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
202,S001,B,"('S001-MED-02', 'S001-WAT-03')",2,17.0,0.039,1.041491434245762,1164.1114854228224
203,S001,B,"('S001-MED-02', 'S001-WAT-03', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
204,S001,B,"('S001-MED-02', 'S001-WAT-03', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
205,S001,B,"('S001-MED-02', 'S001-WAT-03', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
206,S001,B,"('S001-MED-02', 'S001-WAT-02')",2,17.0,0.039,1.041491434245762,1164.1114854228224
207,S001,B,"('S001-MED-02', 'S001-WAT-02', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
208,S001,B,"('S001-MED-02', 'S001-WAT-02', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
209,S001,B,"('S001-MED-02', 'S001-WAT-02', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
210,S001,B,"('S001-MED-02', 'S001-WAT-01')",2,17.0,0.039,1.041491434245762,1164.1114854228224
211,S001,B,"('S001-MED-02', 'S001-WAT-01', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
212,S001,B,"('S001-MED-02', 'S001-WAT-01', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
213,S001,B,"('S001-MED-02', 'S001-WAT-01', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
214,S001,B,"('S001-MED-01',)",1,3.0,0.012,0.9417708195779846,1104.1114854228224
215,S001,B,"('S001-MED-01', 'S001-HYG-02')",2,9.0,0.047,0.9723241178438373,1164.1114854228224
216,S001,B,"('S001-MED-01', 'S001-HYG-01')",2,9.0,0.047,0.9723241178438373,1164.1114854228224
217,S001,B,"('S001-MED-01', 'S001-FOD-03')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
218,S001,B,"('S001-MED-01', 'S001-FOD-02')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
219,S001,B,"('S001-MED-01', 'S001-FOD-02', 'S001-FOD-03')",3,19.0,0.068,1.065238615178194,1224.1114854228224
220,S001,B,"('S001-MED-01', 'S001-FOD-01')",2,11.0,0.04,0.9863122267971551,1164.1114854228224
221,S001,B,"('S001-MED-01', 'S001-FOD-01', 'S001-FOD-03')",3,19.0,0.068,1.065238615178194,1224.1114854228224
222,S001,B,"('S001-MED-01', 'S001-FOD-01', 'S001-FOD-02')",3,19.0,0.068,1.065238615178194,1224.1114854228224
223,S001,B,"('S001-MED-01', 'S001-WAT-08')",2,17.0,0.039,1.041491434245762,1164.1114854228224
224,S001,B,"('S001-MED-01', 'S001-WAT-08', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
225,S001,B,"('S001-MED-01', 'S001-WAT-08', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
226,S001,B,"('S001-MED-01', 'S001-WAT-08', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
227,S001,B,"('S001-MED-01', 'S001-WAT-07')",2,17.0,0.039,1.041491434245762,1164.1114854228224
228,S001,B,"('S001-MED-01', 'S001-WAT-07', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
229,S001,B,"('S001-MED-01', 'S001-WAT-07', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
230,S001,B,"('S001-MED-01', 'S001-WAT-07', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
231,S001,B,"('S001-MED-01', 'S001-WAT-06')",2,17.0,0.039,1.041491434245762,1164.1114854228224
232,S001,B,"('S001-MED-01', 'S001-WAT-06', 'S001-FOD-03')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
233,S001,B,"('S001-MED-01', 'S001-WAT-06', 'S001-FOD-02')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
234,S001,B,"('S001-MED-01', 'S001-WAT-06', 'S001-FOD-01')",3,25.0,0.067,1.1594704630953758,1224.1114854228224
235,S001,B,"('S001-MED-01', 'S001-WAT-05')",2,17.0,0.039,1.041491434245762,1164.1114854228224
