            box   sid    type  mass    vol  first  t_first    t_exp  prio
33  S004-WAT-02  S004     饮用水  14.0  0.027  False      NaN   7200.0  10.0
34  S004-WAT-03  S004     饮用水  14.0  0.027  False      NaN   7200.0  10.0
37  S005-MED-01  S005    医疗物资   3.0  0.012   True  10800.0  10800.0  16.0
41  S005-FOD-01  S005    应急食品   8.0  0.028  False      NaN  14400.0   6.0
42  S005-HYG-01  S005  生活卫生用品   6.0  0.035  False      NaN  18000.0   4.0
38  S005-WAT-01  S005     饮用水  14.0  0.027   True  10800.0  10800.0   8.0
39  S005-WAT-02  S005     饮用水  14.0  0.027  False      NaN  10800.0   8.0
40  S005-WAT-03  S005     饮用水  14.0  0.027  False      NaN  10800.0   8.0
43  S006-MED-01  S006    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
47  S006-FOD-01  S006    应急食品   8.0  0.028  False      NaN   7200.0  10.0
48  S006-HYG-01  S006  生活卫生用品   6.0  0.035  False      NaN  10800.0   8.0
44  S006-WAT-01  S006     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
45  S006-WAT-02  S006     饮用水  14.0  0.027  False      NaN   3600.0  12.0
46  S006-WAT-03  S006     饮用水  14.0  0.027  False      NaN   3600.0  12.0
49  S007-MED-01  S007    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
52  S007-FOD-01  S007    应急食品   8.0  0.028  False      NaN   7200.0  10.0
53  S007-HYG-01  S007  生活卫生用品   6.0  0.035  False      NaN  10800.0   8.0
50  S007-WAT-01  S007     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
51  S007-WAT-02  S007     饮用水  14.0  0.027  False      NaN   3600.0  12.0
54  S008-MED-01  S008    医疗物资   3.0  0.012   True   7200.0   7200.0  20.0
57  S008-FOD-01  S008    应急食品   8.0  0.028  False      NaN  10800.0   8.0
58  S008-HYG-01  S008  生活卫生用品   6.0  0.035  False      NaN  14400.0   6.0
55  S008-WAT-01  S008     饮用水  14.0  0.027   True   7200.0   7200.0  10.0
56  S008-WAT-02  S008     饮用水  14.0  0.027  False      NaN   7200.0  10.0
59  S009-MED-01  S009    医疗物资   3.0  0.012   True  10800.0  10800.0  16.0
61  S009-FOD-01  S009    应急食品   8.0  0.028  False      NaN  14400.0   6.0
60  S009-WAT-01  S009     饮用水  14.0  0.027   True  10800.0  10800.0   8.0
62  S010-MED-01  S010    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
64  S010-FOD-01  S010    应急食品   8.0  0.028  False      NaN   7200.0  10.0
63  S010-WAT-01  S010     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
65  S011-MED-01  S011    医疗物资   3.0  0.012   True  10800.0  10800.0  16.0
67  S011-FOD-01  S011    应急食品   8.0  0.028  False      NaN  14400.0   6.0
66  S011-WAT-01  S011     饮用水  14.0  0.027   True  10800.0  10800.0   8.0
68  S012-MED-01  S012    医疗物资   3.0  0.012   True   3600.0   7200.0  22.0
70  S012-FOD-01  S012    应急食品   8.0  0.028  False      NaN   7200.0  10.0
69  S012-WAT-01  S012     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
71  S013-MED-01  S013    医疗物资   3.0  0.012   True   3600.0   3600.0  24.0
73  S013-FOD-01  S013    应急食品   8.0  0.028  False      NaN   7200.0  10.0
72  S013-WAT-01  S013     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
74  S014-MED-01  S014    医疗物资   3.0  0.012   True   3600.0   7200.0  22.0
76  S014-FOD-01  S014    应急食品   8.0  0.028  False      NaN   7200.0  10.0
75  S014-WAT-01  S014     饮用水  14.0  0.027   True   3600.0   3600.0  12.0
77  S015-MED-01  S015    医疗物资   3.0  0.012   True   7200.0   7200.0  18.0
79  S015-FOD-01  S015    应急食品   8.0  0.028  False      NaN  14400.0   6.0
78  S015-WAT-01  S015     饮用水  14.0  0.027   True  10800.0  10800.0   8.0
