候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
13,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-06,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
14,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-07,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
15,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-08,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
16,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
17,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
18,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
19,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
20,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
21,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
22,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
23,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
24,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
25,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
26,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
27,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
28,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
29,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
30,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
31,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
32,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-WAT-06,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
33,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-WAT-07,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
34,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-WAT-08,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
35,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
36,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
37,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
38,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
39,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
40,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
41,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
42,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
43,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
44,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
45,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
46,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
47,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
48,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
49,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-05|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
50,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
51,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-WAT-07,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
52,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-WAT-08,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
53,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
54,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
55,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
56,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
57,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
58,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
59,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
60,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
61,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
62,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
63,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
64,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
65,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
66,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
67,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-06|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
68,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
69,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-WAT-08,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
70,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
71,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
72,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
73,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
74,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
75,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
76,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
77,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
78,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
79,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
80,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
81,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
82,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
83,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
84,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
85,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
86,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
87,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
88,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
89,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
90,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
91,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
92,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
93,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
94,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
95,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
96,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
97,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
98,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
99,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
100,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-08|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
101,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
102,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
103,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-FOD-03,8,72.0,0.189,2.797374326694065,1646.6555751004735,80.0,0.25,2,114.0
104,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
105,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
106,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
107,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
108,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
109,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
110,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
111,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
112,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
113,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
114,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
115,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
116,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
117,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
118,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
119,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
120,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
121,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
122,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
123,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-02|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
124,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-FOD-03,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
