资源编号,资源类型,事件类型,开始_s,结束_s
B-电池03,运输电池,充电,14000.843513540667,15129.308803510845
B-电池03,运输电池,飞行,15129.308803510845,16645.06673326218
B-电池03,运输电池,充电,16645.06673326218,17984.190899492183
B-电池03,运输电池,飞行,19221.002198738945,20916.49167608003
B-电池03,运输电池,充电,20916.49167608003,22604.77258403721
B-电池03,运输电池,飞行,22850.269133022364,24366.0270627737
B-电池03,运输电池,充电,24366.0270627737,25674.581441389208
B-电池03,运输电池,飞行,28509.830360258158,30205.319837599243
B-电池03,运输电池,充电,30205.319837599243,31848.060516485322
B-电池03,运输电池,飞行,34144.073168612864,35983.990389386374
B-电池03,运输电池,充电,35983.990389386374,37770.745399035004
B-电池03,运输电池,飞行,39809.01496649512,41768.743057701024
B-电池03,运输电池,充电,41768.743057701024,43484.9827602077
B-电池03,运输电池,飞行,46121.93543623828,47961.85265701179
B-电池03,运输电池,充电,47961.85265701179,49698.505478478335
B-电池03,运输电池,飞行,51868.22958964049,53827.9576808464
B-电池03,运输电池,充电,53827.9576808464,55497.01336089906
B-电池04,运输电池,飞行,1104.1114854228224,2251.166954517081
B-电池04,运输电池,充电,2251.166954517081,3346.8473589635955
B-电池04,运输电池,飞行,6915.458217060748,8815.37543783426
B-电池04,运输电池,充电,8815.37543783426,10636.020208415297
B-电池04,运输电池,飞行,10984.33854661398,12088.450032036802
B-电池04,运输电池,充电,12088.450032036802,13193.305505742585
B-电池04,运输电池,飞行,13193.305505742585,14297.416991165406
B-电池04,运输电池,充电,14297.416991165406,15382.707522546665
B-电池04,运输电池,飞行,15402.272464871188,16506.38395029401
B-电池04,运输电池,充电,16506.38395029401,17586.848756582276
B-电池04,运输电池,飞行,17827.55878928664,19523.048266627724
B-电池04,运输电池,充电,19523.048266627724,21211.329174584906
B-电池04,运输电池,飞行,22113.336778776036,24133.06486998194
B-电池04,运输电池,充电,24133.06486998194,25849.304572488618
B-电池04,运输电池,飞行,28457.535020610252,30206.920786310984
B-电池04,运输电池,充电,30206.920786310984,31646.45689859737
B-电池04,运输电池,飞行,33830.34954409741,35280.95404163183
B-电池04,运输电池,充电,35280.95404163183,36690.86729239169
B-电池04,运输电池,飞行,39618.96021791731,41959.29754510643
B-电池04,运输电池,充电,41959.29754510643,43892.34356508741
B-电池04,运输电池,飞行,46363.27528637649,48234.72397086154
B-电池04,运输电池,充电,48234.72397086154,49936.94559862731
B-电池04,运输电池,飞行,52084.04076012228,53791.30029941601
B-电池04,运输电池,充电,53791.30029941601,55287.820239470624
C-电池01,运输电池,飞行,0.0,2912.762572312905
C-电池01,运输电池,充电,2912.762572312905,5337.754381690154
C-电池01,运输电池,飞行,9752.095366758951,11980.792441283298
C-电池01,运输电池,充电,11980.792441283298,14189.420982472413
C-电池02,运输电池,飞行,48.744885867486914,2427.9466200918023
C-电池02,运输电池,充电,2427.9466200918023,4401.246650246151
C-电池02,运输电池,飞行,6248.219849363246,8632.678771305344
C-电池02,运输电池,充电,8632.678771305344,10889.56996782119
C-电池03,运输电池,飞行,3546.4361957711226,5924.100991139987
C-电池03,运输电池,充电,5924.100991139987,8144.647032000111
C-电池04,运输电池,飞行,2912.762572312905,4276.100654525653
C-电池04,运输电池,充电,4276.100654525653,5721.231639915957
R-能源组件01,中继能源组件,飞行,52.96395661440533,3107.4640853640262
R-能源组件01,中继能源组件,充电,3107.4640853640262,3943.135342425926
R-能源组件01,中继能源组件,飞行,9648.472910322209,12047.416203337081
R-能源组件01,中继能源组件,充电,12047.416203337081,12802.000976573832
R-能源组件01,中继能源组件,飞行,20383.849910100755,22217.615352754467
R-能源组件01,中继能源组件,充电,22217.615352754467,22914.11921614387
R-能源组件01,中继能源组件,飞行,28351.588905087818,30424.77328834872
R-能源组件01,中继能源组件,充电,30424.77328834872,31149.616008108776
R-能源组件01,中继能源组件,飞行,36133.81492964712,38945.94278740077
R-能源组件01,中继能源组件,充电,38945.94278740077,39760.30241483217
R-能源组件01,中继能源组件,飞行,45742.927041712566,48494.95012949974
R-能源组件01,中继能源组件,充电,48494.95012949974,49293.36338420562
R-能源组件02,中继能源组件,飞行,0.0,2599.374383360005
R-能源组件02,中继能源组件,充电,2599.374383360005,3389.534090979587
R-能源组件02,中继能源组件,飞行,9442.489380634554,12523.439600503401
R-能源组件02,中继能源组件,充电,12523.439600503401,13363.9357099496
R-能源组件02,中继能源组件,飞行,21777.29331955306,24657.27108677327
R-能源组件02,中继能源组件,充电,24657.27108677327,25464.304632029918
R-能源组件02,中继能源组件,飞行,30724.77328834872,33134.87163663224
R-能源组件02,中继能源组件,充电,33134.87163663224,33896.61912828242
R-能源组件02,中继能源组件,飞行,39245.94278740077,42510.28008863973
R-能源组件02,中继能源组件,充电,42510.28008863973,43380.77335358711
R-能源组件02,中继能源组件,飞行,49072.3857136136,51471.329006628475
R-能源组件02,中继能源组件,充电,51471.329006628475,52225.91377986523
R-能源组件03,中继能源组件,飞行,2899.374383360005,5590.685624820007
R-能源组件03,中继能源组件,充电,5590.685624820007,6382.815090244968
R-能源组件03,中继能源组件,飞行,14796.655023242949,17122.538668640755
R-能源组件03,中继能源组件,充电,17122.538668640755,17868.054405758372
R-能源组件03,中继能源组件,飞行,22517.615352754467,24843.498998152274
R-能源组件03,中继能源组件,充电,24843.498998152274,25589.01473526989
R-能源组件03,中继能源组件,飞行,31066.121481072274,33465.06477408715
R-能源组件03,中继能源组件,充电,33465.06477408715,34219.649547323905
R-能源组件03,中继能源组件,飞行,39442.97150727214,42292.94927449235
R-能源组件03,中继能源组件,充电,42292.94927449235,43096.25886141566
R-能源组件03,中继能源组件,飞行,48794.95012949974,51202.18613041751
R-能源组件03,中继能源组件,充电,51202.18613041751,51957.800293610955
R-能源组件04,中继能源组件,飞行,3407.4640853640267,6266.449822535039
R-能源组件04,中继能源组件,充电,6266.449822535039,7087.007585159048
R-能源组件04,中继能源组件,飞行,16297.391828605667,18515.98207809306
R-能源组件04,中继能源组件,充电,18515.98207809306,19256.852988410355
R-能源组件04,中继能源组件,飞行,24957.27108677327,28051.588905087818
R-能源组件04,中继能源组件,充电,28051.588905087818,28900.97732102635
R-能源组件04,中继能源组件,飞行,33765.06477408715,36517.08786187432
R-能源组件04,中继能源组件,充电,36517.08786187432,37315.501116580206
R-能源组件04,中继能源组件,飞行,42810.28008863973,45660.25785585995
R-能源组件04,中继能源组件,充电,45660.25785585995,46463.567442783264
R-能源组件04,中继能源组件,飞行,51771.329006628475,54244.84180266568
R-能源组件04,中继能源组件,充电,54244.84180266568,55008.68303330885
R-能源组件05,中继能源组件,飞行,5890.685624820007,9142.489380634552
R-能源组件05,中继能源组件,充电,9142.489380634552,10011.426832217614
R-能源组件05,中继能源组件,飞行,17422.538668640755,20083.849910100755
R-能源组件05,中继能源组件,充电,20083.849910100755,20872.25541719238
R-能源组件05,中继能源组件,飞行,25143.498998152274,27804.810239612274
R-能源组件05,中继能源组件,充电,27804.810239612274,28593.2157467039
R-能源组件05,中继能源组件,飞行,33434.87163663224,35833.81492964712
R-能源组件05,中继能源组件,充电,35833.81492964712,36588.39970288387
R-能源组件05,中继能源组件,飞行,42592.94927449235,45442.927041712566
R-能源组件05,中继能源组件,充电,45442.927041712566,46246.23662863588
R-能源组件05,中继能源组件,飞行,51502.18613041751,54352.16389763773
R-能源组件05,中继能源组件,充电,54352.16389763773,55155.473484561044
R-能源组件06,中继能源组件,飞行,6566.449822535039,9348.472910322209
R-能源组件06,中继能源组件,充电,9348.472910322209,10150.610123361424
R-能源组件06,中继能源组件,飞行,18815.98207809306,21477.29331955306
R-能源组件06,中继能源组件,充电,21477.29331955306,22265.698826644686
R-能源组件06,中继能源组件,飞行,28104.810239612274,30766.121481072274
R-能源组件06,中继能源组件,充电,30766.121481072274,31554.5269881639
R-能源组件06,中继能源组件,飞行,36817.08786187432,39142.97150727214
R-能源组件06,中继能源组件,充电,39142.97150727214,39888.487244389755
R-能源组件06,中继能源组件,飞行,45960.25785585995,48772.3857136136
R-能源组件06,中继能源组件,充电,48772.3857136136,49586.745341045
R01,中继无人机,飞行,52.96395661440533,3107.4640853640262
R01,中继无人机,飞行,3407.4640853640267,6266.449822535039
R01,中继无人机,飞行,6566.449822535039,9348.472910322209
R01,中继无人机,飞行,9648.472910322209,12047.416203337081
R01,中继无人机,飞行,14796.655023242949,17122.538668640755
R01,中继无人机,飞行,17422.538668640755,20083.849910100755
R01,中继无人机,飞行,20383.849910100755,22217.615352754467
R01,中继无人机,飞行,22517.615352754467,24843.498998152274
R01,中继无人机,飞行,25143.498998152274,27804.810239612274
R01,中继无人机,飞行,28104.810239612274,30766.121481072274
R01,中继无人机,飞行,31066.121481072274,33465.06477408715
R01,中继无人机,飞行,33765.06477408715,36517.08786187432
R01,中继无人机,飞行,36817.08786187432,39142.97150727214
R01,中继无人机,飞行,39442.97150727214,42292.94927449235
R01,中继无人机,飞行,42592.94927449235,45442.927041712566
R01,中继无人机,飞行,45742.927041712566,48494.95012949974
R01,中继无人机,飞行,48794.95012949974,51202.18613041751
R01,中继无人机,飞行,51502.18613041751,54352.16389763773
R02,中继无人机,飞行,0.0,2599.374383360005
R02,中继无人机,飞行,2899.374383360005,5590.685624820007
R02,中继无人机,飞行,5890.685624820007,9142.489380634552
R02,中继无人机,飞行,9442.489380634554,12523.439600503401
R02,中继无人机,飞行,16297.391828605667,18515.98207809306
R02,中继无人机,飞行,18815.98207809306,21477.29331955306
R02,中继无人机,飞行,21777.29331955306,24657.27108677327
R02,中继无人机,飞行,24957.27108677327,28051.588905087818
R02,中继无人机,飞行,28351.588905087818,30424.77328834872
R02,中继无人机,飞行,30724.77328834872,33134.87163663224
R02,中继无人机,飞行,33434.87163663224,35833.81492964712
R02,中继无人机,飞行,36133.81492964712,38945.94278740077
R02,中继无人机,飞行,39245.94278740077,42510.28008863973
R02,中继无人机,飞行,42810.28008863973,45660.25785585995
R02,中继无人机,飞行,45960.25785585995,48772.3857136136
R02,中继无人机,飞行,49072.3857136136,51471.329006628475
R02,中继无人机,飞行,51771.329006628475,54244.84180266568
U05,运输无人机,飞行,0.0,1104.1114854228224
U05,运输无人机,飞行,3274.394504005889,5029.883981346975
U05,运输无人机,飞行,5029.883981346975,6094.735604703874
U05,运输无人机,飞行,6094.735604703874,7606.002247878202
U05,运输无人机,飞行,10043.95081778737,11494.55531532179
U05,运输无人机,飞行,11494.55531532179,12598.666800744611
U05,运输无人机,飞行,12853.788044446408,14000.843513540667
U05,运输无人机,飞行,14000.843513540667,15104.954998963489
U05,运输无人机,飞行,15129.308803510845,16645.06673326218
U05,运输无人机,飞行,16645.06673326218,18034.98121447251
U05,运输无人机,飞行,19221.002198738945,20916.49167608003
U05,运输无人机,飞行,20916.49167608003,22063.54714517429
U05,运输无人机,飞行,22850.269133022364,24366.0270627737
U05,运输无人机,飞行,25548.519118798158,27244.008596139243
U05,运输无人机,飞行,28509.830360258158,30205.319837599243
U05,运输无人机,飞行,30959.61504862588,32764.19612065846
U05,运输无人机,飞行,33830.34954409741,35280.95404163183
U05,运输无人机,飞行,36536.83236016366,38408.281044648706
U05,运输无人机,飞行,39618.96021791731,41959.29754510643
U05,运输无人机,飞行,43176.32354786271,45136.05163906862
U05,运输无人机,飞行,46363.27528637649,48234.72397086154
U05,运输无人机,飞行,49467.863621078766,50918.468118613186
U05,运输无人机,飞行,52084.04076012228,53791.30029941601
U06,运输无人机,飞行,0.0,1104.1114854228224
U06,运输无人机,飞行,1104.1114854228224,2251.166954517081
U06,运输无人机,飞行,2251.166954517081,3355.2784399399034
U06,运输无人机,飞行,3355.2784399399034,4519.389925362726
U06,运输无人机,飞行,6915.458217060748,8815.37543783426
U06,运输无人机,飞行,8815.37543783426,9880.227061191159
U06,运输无人机,飞行,9880.227061191159,10984.33854661398
U06,运输无人机,飞行,10984.33854661398,12088.450032036802
U06,运输无人机,飞行,12089.194020319763,13193.305505742585
U06,运输无人机,飞行,13193.305505742585,14297.416991165406
U06,运输无人机,飞行,14298.160979448367,15402.272464871188
U06,运输无人机,飞行,15402.272464871188,16506.38395029401
U06,运输无人机,飞行,16506.38395029401,17610.49543571683
U06,运输无人机,飞行,17827.55878928664,19523.048266627724
U06,运输无人机,飞行,20525.885209271855,21956.39814420023
U06,运输无人机,飞行,22113.336778776036,24133.06486998194
U06,运输无人机,飞行,25357.85869754698,27513.927162335756
U06,运输无人机,飞行,28457.535020610252,30206.920786310984
U06,运输无人机,飞行,31461.599388537437,32912.20388607186
U06,运输无人机,飞行,34144.073168612864,35983.990389386374
U06,运输无人机,飞行,37149.741642142224,38665.49957189356
U06,运输无人机,飞行,39809.01496649512,41768.743057701024
U06,运输无人机,飞行,42958.99273371533,44918.720824921234
U06,运输无人机,飞行,46121.93543623828,47961.85265701179
U06,运输无人机,飞行,49200.75406642454,50636.93400705066
U06,运输无人机,飞行,51868.22958964049,53827.9576808464
U07,运输无人机,飞行,0.0,2912.762572312905
U07,运输无人机,飞行,2912.762572312905,4276.100654525653
U07,运输无人机,飞行,6248.219849363246,8632.678771305344
U08,运输无人机,飞行,48.744885867486914,2427.9466200918023
U08,运输无人机,飞行,3546.4361957711226,5924.100991139987
U08,运输无人机,飞行,9752.095366758951,11980.792441283298
