trip_id,box,sid,gtype,uid,battery_id,delivery_time_s
T009,S004-WAT-02,S004,C,U07,BAT-C-04,6060.78597037588
T010,S005-MED-01,S005,A,U01,BAT-A-04,7056.141601711837
T010,S005-WAT-01,S005,A,U01,BAT-A-04,7056.141601711837
T011,S005-WAT-02,S005,C,U08,BAT-C-04,10350.070196652672
T011,S005-WAT-03,S005,C,U08,BAT-C-04,10350.070196652672
T011,S005-FOD-01,S005,C,U08,BAT-C-04,10350.070196652672
T011,S005-HYG-01,S005,C,U08,BAT-C-04,10350.070196652672
T012,S006-MED-01,S006,A,U02,BAT-A-03,935.3676265479737
T012,S006-WAT-01,S006,A,U02,BAT-A-03,935.3676265479737
T013,S006-WAT-02,S006,C,U08,BAT-C-01,1077.3140909030926
T013,S006-WAT-03,S006,C,U08,BAT-C-01,1077.3140909030926
T013,S006-FOD-01,S006,C,U08,BAT-C-01,1077.3140909030926
T013,S006-HYG-01,S006,C,U08,BAT-C-01,1077.3140909030926
T014,S007-MED-01,S007,A,U02,BAT-A-03,3333.0588501953252
T014,S007-WAT-01,S007,A,U02,BAT-A-03,3333.0588501953252
T015,S007-WAT-02,S007,C,U07,BAT-C-03,4043.3086750048933
T015,S007-FOD-01,S007,C,U07,BAT-C-03,4043.3086750048933
T015,S007-HYG-01,S007,C,U07,BAT-C-03,4043.3086750048933
T016,S008-MED-01,S008,A,U01,BAT-A-01,5125.69233391667
T016,S008-WAT-01,S008,A,U01,BAT-A-01,5125.69233391667
T017,S008-WAT-02,S008,C,U08,BAT-C-02,7216.090124579625
T017,S008-FOD-01,S008,C,U08,BAT-C-02,7216.090124579625
T017,S008-HYG-01,S008,C,U08,BAT-C-02,7216.090124579625
T018,S009-MED-01,S009,A,U01,BAT-A-01,10792.03284787744
T018,S009-WAT-01,S009,A,U01,BAT-A-01,10792.03284787744
T019,S001-HYG-02,S001,B,U06,BAT-B-02,8690.430779545113
T019,S009-FOD-01,S009,B,U06,BAT-B-02,9108.120829759511
T020,S010-MED-01,S010,A,U01,BAT-A-02,3213.395274018195
T020,S010-WAT-01,S010,A,U01,BAT-A-02,3213.395274018195
T021,S010-FOD-01,S010,B,U05,BAT-B-04,4903.799350806353
T021,S014-FOD-01,S014,B,U05,BAT-B-04,5337.136087336266
T022,S011-MED-01,S011,A,U01,BAT-A-01,8508.097854219175
T022,S011-WAT-01,S011,A,U01,BAT-A-01,8508.097854219175
T023,S011-FOD-01,S011,C,U08,BAT-C-01,11690.729645964859
T024,S012-MED-01,S012,A,U01,BAT-A-01,1335.3443079464978
T024,S012-WAT-01,S012,A,U01,BAT-A-01,1335.3443079464978
T025,S012-FOD-01,S012,B,U05,BAT-B-03,2998.092219876078
T025,S013-WAT-01,S013,B,U05,BAT-B-03,3463.483195053259
T026,S001-HYG-01,S001,B,U06,BAT-B-02,835.2307795451127
T026,S013-MED-01,S013,B,U06,BAT-B-02,1283.8371051405982
T027,S001-WAT-05,S001,B,U06,BAT-B-02,4375.930779545112
T027,S013-FOD-01,S013,B,U06,BAT-B-02,4824.537105140598
T028,S014-MED-01,S014,B,U06,BAT-B-01,2913.550053254522
T028,S014-WAT-01,S014,B,U06,BAT-B-01,2913.550053254522
T029,S015-MED-01,S015,B,U05,BAT-B-01,7181.439764448876
T029,S015-WAT-01,S015,B,U05,BAT-B-01,7181.439764448876
T029,S015-FOD-01,S015,B,U05,BAT-B-01,7181.439764448876
